person,quote,display
Jamais Cascio,Resilience is all about being able to overcome the unexpected. Sustainability is about survival. The goal of resilience is to thrive.,"> *""Resilience is all about being able to overcome the unexpected. Sustainability is about survival. The goal of resilience is to thrive.""* --Jamais Cascio"
Amy Morin,"Everyone has the ability to increase resilience to stress. It requires hard work and dedication, but over time, you can equip yourself to handle whatever life throws your way without adverse effects to your health. Training your brain to manage stress won't just affect the quality of your life, but perhaps even the length of it.","> *""Everyone has the ability to increase resilience to stress. It requires hard work and dedication, but over time, you can equip yourself to handle whatever life throws your way without adverse effects to your health. Training your brain to manage stress won't just affect the quality of your life, but perhaps even the length of it.""* --Amy Morin"
Jennifer Hyman,"I think that life is difficult. People have challenges. Family members get sick, people get older, you don't always get the job or the promotion that you want. You have conflicts in your life. And really, life is about your resilience and your ability to go through your life and all of the ups and downs with a positive attitude.","> *""I think that life is difficult. People have challenges. Family members get sick, people get older, you don't always get the job or the promotion that you want. You have conflicts in your life. And really, life is about your resilience and your ability to go through your life and all of the ups and downs with a positive attitude.""* --Jennifer Hyman"
Amy Morin,There will always be obstacles and challenges that stand in your way. Building mental strength will help you develop resilience to those potential hazards so you can continue on your journey to success.,"> *""There will always be obstacles and challenges that stand in your way. Building mental strength will help you develop resilience to those potential hazards so you can continue on your journey to success.""* --Amy Morin"
Joshua Waitzkin,"The moment we believe that success is determined by an ingrained level of ability as opposed to resilience and hard work, we will be brittle in the face of adversity.","> *""The moment we believe that success is determined by an ingrained level of ability as opposed to resilience and hard work, we will be brittle in the face of adversity.""* --Joshua Waitzkin"
Albert Bandura,"In order to succeed, people need a sense of self-efficacy, to struggle together with resilience to meet the inevitable obstacles and inequities of life.","> *""In order to succeed, people need a sense of self-efficacy, to struggle together with resilience to meet the inevitable obstacles and inequities of life.""* --Albert Bandura"
Eric Greitens,"Of course fear does not automatically lead to courage. Injury does not necessarily lead to insight. Hardship will not automatically make us better. Pain can break us or make us wiser. Suffering can destroy us or make us stronger. Fear can cripple us, or it can make us more courageous. It is resilience that makes the difference.","> *""Of course fear does not automatically lead to courage. Injury does not necessarily lead to insight. Hardship will not automatically make us better. Pain can break us or make us wiser. Suffering can destroy us or make us stronger. Fear can cripple us, or it can make us more courageous. It is resilience that makes the difference.""* --Eric Greitens"
Jean Chatzky,"Resilience isn't a single skill. It's a variety of skills and coping mechanisms. To bounce back from bumps in the road as well as failures, you should focus on emphasizing the positive.","> *""Resilience isn't a single skill. It's a variety of skills and coping mechanisms. To bounce back from bumps in the road as well as failures, you should focus on emphasizing the positive.""* --Jean Chatzky"
Sheri L. Dew,"Indeed, this life is a test. It is a test of many things - of our convictions and priorities, our faith and our faithfulness, our patience and our resilience, and in the end, our ultimate desires.","> *""Indeed, this life is a test. It is a test of many things - of our convictions and priorities, our faith and our faithfulness, our patience and our resilience, and in the end, our ultimate desires.""* --Sheri L. Dew"
Eric Greitens,"Resilience is distinct from mere survival, and more than mere endurance. Resilience is often endurance with direction.","> *""Resilience is distinct from mere survival, and more than mere endurance. Resilience is often endurance with direction.""* --Eric Greitens"
Karren Brady,"The most important characteristics you need to succeed in business are resilience, determination and persistence.","> *""The most important characteristics you need to succeed in business are resilience, determination and persistence.""* --Karren Brady"
Gever Tulley,Persistence and resilience only come from having been given the chance to work though difficult problems.,"> *""Persistence and resilience only come from having been given the chance to work though difficult problems.""* --Gever Tulley"
Elizabeth Edwards,"Resilience is accepting your new reality, even if it's less good than the one you had before.","> *""Resilience is accepting your new reality, even if it's less good than the one you had before.""* --Elizabeth Edwards"
Maria Konnikova,"If you are lucky enough to never experience any sort of adversity, we won't know how resilient you are. It's only when you're faced with obstacles, stress, and other environmental threats that resilience, or the lack of it, emerges: Do you succumb or do you surmount?","> *""If you are lucky enough to never experience any sort of adversity, we won't know how resilient you are. It's only when you're faced with obstacles, stress, and other environmental threats that resilience, or the lack of it, emerges: Do you succumb or do you surmount?""* --Maria Konnikova"
Phil Klay,"Resilience is, of course, necessary for a warrior. But a lack of empathy isn't.","> *""Resilience is, of course, necessary for a warrior. But a lack of empathy isn't.""* --Phil Klay"
Joan Halifax,"We live in a time when science is validating what humans have known throughout the ages: that compassion is not a luxury; it is a necessity for our well-being, resilience, and survival.","> *""We live in a time when science is validating what humans have known throughout the ages: that compassion is not a luxury; it is a necessity for our well-being, resilience, and survival.""* --Joan Halifax"
Brooke Shields,"Someone said adversity builds character, but someone else said adversity reveals character. I'm pleasantly surprised with my resilience. I persevere, and not just blindly. I take the best, get rid of the rest, and move on, realizing that you can make a choice to take the good.","> *""Someone said adversity builds character, but someone else said adversity reveals character. I'm pleasantly surprised with my resilience. I persevere, and not just blindly. I take the best, get rid of the rest, and move on, realizing that you can make a choice to take the good.""* --Brooke Shields"
Alan K. Simpson,He's a million rubber bands in his resilience.,"> *""He's a million rubber bands in his resilience.""* --Alan K. Simpson"
Naomi Wolf,"Obstacles, of course, are developmentally necessary: they teach kids strategy, patience, critical thinking, resilience and resourcefulness.","> *""Obstacles, of course, are developmentally necessary: they teach kids strategy, patience, critical thinking, resilience and resourcefulness.""* --Naomi Wolf"
Kevin Rudd,Australia is a nation of compassion. Courage and compassion. And the third of these great values: resilience.,"> *""Australia is a nation of compassion. Courage and compassion. And the third of these great values: resilience.""* --Kevin Rudd"
Eddie the Eagle,Resilience can go an awful long way.,"> *""Resilience can go an awful long way.""* --Eddie the Eagle"
Jeff Bezos,"Because, you know, resilience - if you think of it in terms of the Gold Rush, then you'd be pretty depressed right now because the last nugget of gold would be gone. But the good thing is, with innovation, there isn't a last nugget. Every new thing creates two new questions and two new opportunities.","> *""Because, you know, resilience - if you think of it in terms of the Gold Rush, then you'd be pretty depressed right now because the last nugget of gold would be gone. But the good thing is, with innovation, there isn't a last nugget. Every new thing creates two new questions and two new opportunities.""* --Jeff Bezos"
Elie Wiesel,I marvel at the resilience of the Jewish people. Their best characteristic is their desire to remember. No other people has such an obsession with memory.,"> *""I marvel at the resilience of the Jewish people. Their best characteristic is their desire to remember. No other people has such an obsession with memory.""* --Elie Wiesel"
A. P. J. Abdul Kalam,"When we tackle obstacles, we find hidden reserves of courage and resilience we did not know we had. And it is only when we are faced with failure do we realise that these resources were always there within us. We only need to find them and move on with our lives.","> *""When we tackle obstacles, we find hidden reserves of courage and resilience we did not know we had. And it is only when we are faced with failure do we realise that these resources were always there within us. We only need to find them and move on with our lives.""* --A. P. J. Abdul Kalam"
Hannah Gadsby,"We need to hear stories from older women. There's a wealth of wisdom and real resilience there, but they're silenced.","> *""We need to hear stories from older women. There's a wealth of wisdom and real resilience there, but they're silenced.""* --Hannah Gadsby"
Angie Thomas,Basketball requires discipline. So does writing. Basketball requires practice. So does writing. Basketball requires resilience. So does writing.,"> *""Basketball requires discipline. So does writing. Basketball requires practice. So does writing. Basketball requires resilience. So does writing.""* --Angie Thomas"
Laura Lippman,Anyone can love a perfect place. Loving Baltimore takes some resilience.,"> *""Anyone can love a perfect place. Loving Baltimore takes some resilience.""* --Laura Lippman"
Paul Dini,"When it's only you that you can rely on, you're surprised at the resilience you have.","> *""When it's only you that you can rely on, you're surprised at the resilience you have.""* --Paul Dini"
Pooja Bedi,"I was six months pregnant when my brother died and my daughter was four-months-old when my mother expired. Gradually, I developed an inner resilience as today I believe there is a rainbow at the end of each storm.","> *""I was six months pregnant when my brother died and my daughter was four-months-old when my mother expired. Gradually, I developed an inner resilience as today I believe there is a rainbow at the end of each storm.""* --Pooja Bedi"
Sal Khan,"As my kids grow up, I think a lot about the lessons and values I want to impart to them. More than any particular skill or even financial support, I believe perseverance and resilience will serve them best, regardless of what curveball life inevitably throws them.","> *""As my kids grow up, I think a lot about the lessons and values I want to impart to them. More than any particular skill or even financial support, I believe perseverance and resilience will serve them best, regardless of what curveball life inevitably throws them.""* --Sal Khan"
Eric Greitens,Everyone needs resilience. It's a virtue essential to growth and essential to happiness.,"> *""Everyone needs resilience. It's a virtue essential to growth and essential to happiness.""* --Eric Greitens"
James G. Stavridis,Sleep is a key part of the requirements for resilience and good decision-making.,"> *""Sleep is a key part of the requirements for resilience and good decision-making.""* --James G. Stavridis"
Elizabeth Edwards,"You all know that I have been sustained throughout my life by three saving graces - my family, my friends, and a faith in the power of resilience and hope. These graces have carried me through difficult times and they have brought more joy to the good times than I ever could have imagined.","> *""You all know that I have been sustained throughout my life by three saving graces - my family, my friends, and a faith in the power of resilience and hope. These graces have carried me through difficult times and they have brought more joy to the good times than I ever could have imagined.""* --Elizabeth Edwards"
Andre Leon Talley,I do believe there's a heaven. I do believe that God has given me the resilience and the survival skills to withstand the chiffon trenches.,"> *""I do believe there's a heaven. I do believe that God has given me the resilience and the survival skills to withstand the chiffon trenches.""* --Andre Leon Talley"
Steve Aoki,"I always tell up-and-coming DJs you have to really love what you do and find that interest to drive you. It requires so much attention to detail, and it takes up a lot of your time. You hear a song, and there are so many little pieces that make that song work. It requires a lot of patience, diligence and resilience.","> *""I always tell up-and-coming DJs you have to really love what you do and find that interest to drive you. It requires so much attention to detail, and it takes up a lot of your time. You hear a song, and there are so many little pieces that make that song work. It requires a lot of patience, diligence and resilience.""* --Steve Aoki"
Sonia Gandhi,"The Congress has faced many difficult times in the past, much tougher than today. But we have never lost heart; we have repeatedly demonstrated our resilience by remaining committed to our vision, values, and the beliefs that have always sustained us.","> *""The Congress has faced many difficult times in the past, much tougher than today. But we have never lost heart; we have repeatedly demonstrated our resilience by remaining committed to our vision, values, and the beliefs that have always sustained us.""* --Sonia Gandhi"
Hillary Clinton,I have a lot of stamina and I have a lot of resilience.,"> *""I have a lot of stamina and I have a lot of resilience.""* --Hillary Clinton"
Steven Pressfield,"No industry is immune and no occupation is safe. All of us need to begin to think in terms of our own inner strengths, our resilience and resourcefulness, our capacity to adapt and to rely upon ourselves and our families.","> *""No industry is immune and no occupation is safe. All of us need to begin to think in terms of our own inner strengths, our resilience and resourcefulness, our capacity to adapt and to rely upon ourselves and our families.""* --Steven Pressfield"
Sheryl Sandberg,I think we build resilience to prepare for whatever adversity we'll face. And we all face some adversity - we're all living some form of Option B.,"> *""I think we build resilience to prepare for whatever adversity we'll face. And we all face some adversity - we're all living some form of Option B.""* --Sheryl Sandberg"
Brad Henry,Something called 'the Oklahoma Standard' became known throughout the world. It means resilience in the face of adversity. It means a strength and compassion that will not be defeated.,"> *""Something called 'the Oklahoma Standard' became known throughout the world. It means resilience in the face of adversity. It means a strength and compassion that will not be defeated.""* --Brad Henry"
Patti Davis,"It's one thing to show your love for someone when everything is going fine and life is smooth. But when the 'in sickness and in health' part kicks in and sickness does enter your lives, you're tested. Your resilience is tested.","> *""It's one thing to show your love for someone when everything is going fine and life is smooth. But when the 'in sickness and in health' part kicks in and sickness does enter your lives, you're tested. Your resilience is tested.""* --Patti Davis"
Renee James,"Develop resilience and be brave. There are days when it is very discouraging. You have to develop personal resilience to environmental things that come along. If you let every single environmental challenge knock you off your game, it's going to be very, very hard.","> *""Develop resilience and be brave. There are days when it is very discouraging. You have to develop personal resilience to environmental things that come along. If you let every single environmental challenge knock you off your game, it's going to be very, very hard.""* --Renee James"
Jonny Kim,"The SEALs were very good in teaching me hard skills - that means resilience, pushing past your mental and physical boundaries; and having an enormously high threshold for pain.","> *""The SEALs were very good in teaching me hard skills - that means resilience, pushing past your mental and physical boundaries; and having an enormously high threshold for pain.""* --Jonny Kim"
Arianna Huffington,"In a culture fueled by burnout, a culture that has run itself down, our national resilience becomes compromised. And when our collective immune system is weakened, we become more susceptible to viruses that are part of every culture because they're part of human nature - fear-mongering, scapegoating, conspiracy theories, and demagoguery.","> *""In a culture fueled by burnout, a culture that has run itself down, our national resilience becomes compromised. And when our collective immune system is weakened, we become more susceptible to viruses that are part of every culture because they're part of human nature - fear-mongering, scapegoating, conspiracy theories, and demagoguery.""* --Arianna Huffington"
Brad Henry,"Resilience is woven deeply into the fabric of Oklahoma. Throw us an obstacle, and we grow stronger.","> *""Resilience is woven deeply into the fabric of Oklahoma. Throw us an obstacle, and we grow stronger.""* --Brad Henry"
Paul Keating,"What the Anzac legend did do, by the bravery and sacrifice of our troops, was reinforce our own cultural notions of independence, mateship, and ingenuity. Of resilience and courage in adversity.","> *""What the Anzac legend did do, by the bravery and sacrifice of our troops, was reinforce our own cultural notions of independence, mateship, and ingenuity. Of resilience and courage in adversity.""* --Paul Keating"
Gayle Tzemach Lemmon,"Entrepreneurship isn't for everyone, and not everyone is going to be an entrepreneur, but women who turn to business, turn to economics, because there are people depending on them, I think that their creativity, their resilience, their spirit, embody what's best about entrepreneurship.","> *""Entrepreneurship isn't for everyone, and not everyone is going to be an entrepreneur, but women who turn to business, turn to economics, because there are people depending on them, I think that their creativity, their resilience, their spirit, embody what's best about entrepreneurship.""* --Gayle Tzemach Lemmon"
Mira Nair,I'm inspired by people that are marginal. I'm excited by their resilience.,"> *""I'm inspired by people that are marginal. I'm excited by their resilience.""* --Mira Nair"
Ben Sasse,"Every day, across our state, we see grit and resilience.","> *""Every day, across our state, we see grit and resilience.""* --Ben Sasse"
Sheryl Sandberg,"I think there are things that we can all do to build resilience in ourselves, but also to build resilience in each other.","> *""I think there are things that we can all do to build resilience in ourselves, but also to build resilience in each other.""* --Sheryl Sandberg"
Troy Carter,"As important as hustle is, grit and resilience are equally as important because there's a lot of rejection in our business.","> *""As important as hustle is, grit and resilience are equally as important because there's a lot of rejection in our business.""* --Troy Carter"
Amy Morin,Proactively working to develop mental strength increases your resilience to stress and reduces the toll it takes on you both physically and mentally.,"> *""Proactively working to develop mental strength increases your resilience to stress and reduces the toll it takes on you both physically and mentally.""* --Amy Morin"
Ram Nath Kovind,"The resilience, tenacity and zeal of our valiant air warriors is a source of pride for every Indian.","> *""The resilience, tenacity and zeal of our valiant air warriors is a source of pride for every Indian.""* --Ram Nath Kovind"
Sylvia Earle,"Some experts look at global warming, increased world temperature, as the critical tipping point that is causing a crash in coral reef health around the world. And there's no question that it is a factor, but it's preceded by the loss of resilience and degradation.","> *""Some experts look at global warming, increased world temperature, as the critical tipping point that is causing a crash in coral reef health around the world. And there's no question that it is a factor, but it's preceded by the loss of resilience and degradation.""* --Sylvia Earle"
Chamath Palihapitiya,"I was raised in a house where my mom was the primary breadwinner. It was a dysfunctional house, but she showed tremendous resilience.","> *""I was raised in a house where my mom was the primary breadwinner. It was a dysfunctional house, but she showed tremendous resilience.""* --Chamath Palihapitiya"
Jamie Dimon,"America is best when we come together with clear leadership, expertise, and the political will to take on difficult challenges and get things done. No one should ever doubt the strength and resilience of our country and our democracy.","> *""America is best when we come together with clear leadership, expertise, and the political will to take on difficult challenges and get things done. No one should ever doubt the strength and resilience of our country and our democracy.""* --Jamie Dimon"
George Osborne,"In football, as in politics, resilience pays off.","> *""In football, as in politics, resilience pays off.""* --George Osborne"
J. D. Vance,"Hillbillies learn from an early age to deal with uncomfortable truths by avoiding them or by pretending better truths exist. This tendency might make for psychological resilience, but it also makes it hard for Appalachians to look at themselves honestly.","> *""Hillbillies learn from an early age to deal with uncomfortable truths by avoiding them or by pretending better truths exist. This tendency might make for psychological resilience, but it also makes it hard for Appalachians to look at themselves honestly.""* --J. D. Vance"
Joanne Liu,"People inspire me. Every day, I meet amazing individuals in the field. When I see a mother who has walked for three weeks to come to a MSF clinic, with two kids on her back and her belongings on her head, facing intimidation and physical abuse on her way, I am inspired by her resilience - her desire for life.","> *""People inspire me. Every day, I meet amazing individuals in the field. When I see a mother who has walked for three weeks to come to a MSF clinic, with two kids on her back and her belongings on her head, facing intimidation and physical abuse on her way, I am inspired by her resilience - her desire for life.""* --Joanne Liu"
George Monbiot,"I believe resilience is the most useful human quality, and I've sought to cultivate it, but in 2019 I felt my resolve begin to weaken at times as it has never done before.","> *""I believe resilience is the most useful human quality, and I've sought to cultivate it, but in 2019 I felt my resolve begin to weaken at times as it has never done before.""* --George Monbiot"
